46	р-не Перекопа	r-ne_Perekopa=T	Perekop	
46	Кюйсег	Kyujszeg=T	Kőszeg	
45	Фельбок	Felbok=T		
45	Унтергальд	Untergald=T	Unterhaid	
45	Кондезово	Kongyezovo=T		
45	Грайсфальд	Grajszfalyd=T	Greifswald	
45	Болдыревка	Boldirevka=T	Boldirevka;Boldyrevka	
44	Санктпельтен	Szanktpelyten=T	Sankt Pölten	
44	Нойштадт	Nojstad=T		
44	Кейсек	Készek=T		
44	Делатынь	Gyelatiny=T	Deljatin;Deliatyn;Delatyn	
43	Уриф	Urif=T	Uriv	
43	р-не Пешт	r-ne_Pest=T	Pest	
43	Обоян	Obojan=T	Obojan;Oboyan	
43	Новый Оскол	Novij_Oszkol=T	Novij Oszkol	
43	Лодовослав	Lodovoszlav=T		
43	Кеникгрец	Kenikgrec=T	Königgrätz;Hradec Králové	
42	Унгвард	Ungvard=T	Ungvár	
42	Прешов	Presov=T	Eperjes	
42	Мукачев	Mukacsev=T	Munkács	
41	Цвитау	Cvitau=T	Zwittau;Svitavy	
41	Унтерганд	Untergand=T	Unterhaid	
41	Сентфлориан	Szentflorian=T	Sankt Florian	
41	р-не Братислава	r-ne_Bratiszlava=T	Pozsony;Pozsonyi járás	
41	Кремс	Krems=T	Krems	
41	Будвейс	Budvész=T	Budweis;České Budějovice	
40	р-не Буда	r-ne_Buda=T	Buda	
39	Унтергайт	Untergajt=T	Unterhaid	
39	Мерк	Merk=T	Mérk	
38	Сербобран	Szerbobran=T	Szenttamás	
38	р-не Дубно	r-ne_Dubno=T	Dubno	
38	р-не Будо	r-ne_Budo=T	Buda	
38	Обоянь	Obojany=T	Obojan;Oboyan	
38	Молоцк	Molock=T		
38	Иглау	Iglau=T	Iglau;Jihlava;Igló	
37	Цартлесдорф	Zartlesdorf=T	Zartlesdorf;Rybník	
37	Н. Успенка	N._Uszpenka=T		
37	Ирт	Irt=T		
37	Дайчландсберг	Dajcslandszberg=T	Deutschlandsberg	
37	Грейсвальд	Grészvalyd=T	Greifswald	
37	Берлином	Berlinom=T	Berlin	
36	Коплиц	Kopliz=T	Kaplice	
36	Дюмо	Gyumo=T		
36	Воронежом	Voronezsom=T	Voronyezs	
35	Сенфлория	Senfloria=T	Sankt Florian	
35	Севастополь	Szevasztopoly=T	Szevasztopol	
35	Гончаровка	Goncsarovka=T	Goncsarovka;Goncharovka	
35	Братислав.	Bratiszlav.=T	Pozsony	
34	Сант-Пельтен	Sant-Pelten=T	Sankt Pölten	
34	Одесса	Ogyeszsza=T	Odessza	
34	Грайфсвальд	Grajfszvalyd=T	Greifswald	
33	Сентпелтен	Sentpelten=T	Sankt Pölten	
33	Санпельтен	Szanpelyten=T	Sankt Pölten	
33	р-не Зола	r-ne_Zola=T	Zala	
33	Пешт-Меде	Pest-Megye=T	Pest	
32	Торошеево	Torosévo=T		
32	Пизен	Pizen=T	Pilsen;Plzeň	
